Step,AgentID,AgentType,GroupType,Knowledge,KnowledgeLinks,Time,AverageMastery,LargestSubgraph
1,32,active,group_1,0,[],1.0,0.10704230712928706,1
1,33,active,group_1,0,[],1.0,0.12280048791764837,1
1,34,active,group_1,0,[],1.0,0.10702889356483095,1
1,35,active,group_1,0,[],1.0,0.09653234506309803,1
1,36,active,group_1,0,[],1.0,0.09231711171902583,1
1,37,active,group_1,0,[],1.0,0.1081244565390073,1
1,38,active,group_1,0,[],1.0,0.1109126750599857,1
1,39,active,group_1,0,[],1.0,0.08471928518225606,1
1,40,active,group_1,0,[],1.0,0.10785059222661178,1
1,41,active,group_1,0,[],1.0,0.09864449510733786,1
1,42,active,group_1,0,[],1.0,0.1117445322777135,1
1,43,active,group_1,0,[],1.0,0.0952268821588876,1
1,44,active,group_1,0,[],1.0,0.1163425769221528,1
1,45,active,group_1,0,[],1.0,0.10136469947945503,1
1,46,active,group_1,0,[],1.0,0.11658646779972326,1
1,47,active,group_1,0,[],1.0,0.10079645159864822,1
1,48,active,group_1,0,[],1.0,0.11401237307403225,1
1,49,active,group_1,0,[],1.0,0.10593116730808447,1
1,50,constructive,group_2,0,[],1.0,0.10278335718275226,1
1,51,constructive,group_2,0,[],1.0,0.10444832605105621,1
1,52,constructive,group_2,0,[],1.0,0.11309627654261933,1
1,53,constructive,group_2,0,[],1.0,0.09817859816693428,1
1,54,constructive,group_2,0,[],1.0,0.10884929535746313,1
1,55,constructive,group_2,0,[],1.0,0.11045518959605087,1
1,56,constructive,group_2,0,[],1.0,0.1121255226286553,1
1,57,constructive,group_2,0,[],1.0,0.10545289382054443,1
1,58,constructive,group_2,0,[],1.0,0.11663025237145774,1
1,59,constructive,group_2,0,[],1.0,0.11191314936647738,1
1,60,constructive,group_2,0,[],1.0,0.11826428764632631,1
1,61,constructive,group_2,0,[],1.0,0.10512339479017038,1
1,62,constructive,group_2,0,[],1.0,0.10144452007367663,1
1,63,constructive,group_2,0,[],1.0,0.11080176856363173,1
1,64,constructive,group_2,0,[],1.0,0.0865150336329453,1
1,65,constructive,group_2,0,[],1.0,0.11799200418660745,1
1,66,constructive,group_2,0,[],1.0,0.10241614833659077,1
1,67,constructive,group_2,0,[],1.0,0.11266939476896631,1
1,68,constructive,group_2,0,[],1.0,0.10494999618602932,1
1,69,constructive,group_2,0,[],1.0,0.11124972897552883,1
1,70,constructive,group_2,0,[],1.0,0.12076447407875704,1
1,71,constructive,group_2,0,[],1.0,0.10026690431438245,1
1,72,constructive,group_2,0,[],1.0,0.10303248151768338,1
1,73,constructive,group_2,0,[],1.0,0.09129859957147014,1
1,74,constructive,group_2,0,[],1.0,0.10380976014401799,1
1,75,constructive,group_2,0,[],1.0,0.12213386450254812,1
1,76,constructive,group_2,0,[],1.0,0.11293855404449042,1
1,77,constructive,group_2,0,[],1.0,0.1032991119856291,1
1,78,constructive,group_2,0,[],1.0,0.09097535566196177,1
1,79,constructive,group_2,0,[],1.0,0.10564588907027217,1
1,80,constructive,group_2,0,[],1.0,0.11132118942643954,1
1,81,constructive,group_2,0,[],1.0,0.10539150167831737,1
1,82,constructive,group_2,0,[],1.0,0.10183338561855067,1
1,83,constructive,group_2,0,[],1.0,0.1042615343701619,1
1,84,constructive,group_2,0,[],1.0,0.10932550933158222,1
1,85,constructive,group_2,0,[],1.0,0.11826044650506476,1
1,86,constructive,group_2,0,[],1.0,0.10586597503576989,1
1,87,constructive,group_2,0,[],1.0,0.09433688984640509,1
1,88,constructive,group_2,0,[],1.0,0.10012682394113022,1
1,89,constructive,group_2,0,[],1.0,0.10815019393102512,1
1,90,constructive,group_2,0,[],1.0,0.09974016987478321,1
1,91,constructive,group_2,0,[],1.0,0.10487106326415022,1
1,92,constructive,group_2,0,[],1.0,0.09458481754780976,1
1,93,constructive,group_2,0,[],1.0,0.10701616788946375,1
1,94,constructive,group_2,0,[],1.0,0.09987000980082024,1
1,95,constructive,group_2,0,[],1.0,0.10827127675095072,1
1,96,constructive,group_2,0,[],1.0,0.10698394934277086,1
1,97,constructive,group_2,0,[],1.0,0.09688373657823754,1
1,98,constructive,group_2,0,[],1.0,0.09043735657222676,1
1,99,constructive,group_2,0,[],1.0,0.10851409700890605,1
1,100,constructive,group_3,0,[],1.0,0.104381313358064,1
1,101,constructive,group_3,0,[],1.0,0.08672228393415726,1
1,102,constructive,group_3,0,[],1.0,0.10114864327841025,1
1,103,constructive,group_3,0,[],1.0,0.09351705286328041,1
1,104,constructive,group_3,0,[],1.0,0.0973959051436734,1
1,105,constructive,group_3,0,[],1.0,0.11050892355969408,1
1,106,constructive,group_3,0,[],1.0,0.09200215788898189,1
